Codigo,Entidad,Nombre Fantasia,Comuna,Longitud,Latitud
25744,Fullcarga,BAZAR ANGELES,Quilicura,-70.7422969444444,-33.362193703703696
41202,Fullcarga,MONICA DEL CARMEN MORALES CARES,Puente Alto,-70.5663469929415,-33.5699539306027
50119,Fullcarga,DON LUIS,Puente Alto,-70.6118877935446,-33.620933239242845
56741,Fullcarga,BUSTAMANTE,Estacion Central,-70.7066513888888,-33.4724813888888
57920,Fullcarga,EDGAR COSME PORTAL,Quinta Normal,-70.7065919667437,-33.4414644927552
59324,Fullcarga,ELENA MINCHAN AMBROSIO,Las Condes,-70.53614499999999,-33.413732
59396,Fullcarga,KIOSKO LAS CARRETAS,La Reina,-70.57844899999999,-33.431578
59853,Fullcarga,JUANITA CERRO NAVIA,Cerro Navia,-70.7529148,-33.4164973
60093,Fullcarga,DON VICENTE,Lo Prado,-70.71579830729159,-33.447817109375
60219,Fullcarga,ALMACEN DONDE IVAN,Peñalolen,-70.5516327601861,-33.46602302042598
61032,Fullcarga,LA VALE EL BOSQUE,El Bosque,-70.68380735853458,-33.567822914405426
61053,Fullcarga,FREDDY EDISON VALENZUELA RIQUELME ,La Pintana,-70.6507908333333,-33.5771447222222
61067,Fullcarga,MARIA TERESA,San Ramon,-70.6450131207735,-33.5369698874354
62373,Fullcarga,POMPEYITA,Lo Espejo,-70.67795612,-33.51286149
62395,Fullcarga,KIOSKO MARIAN LA FLORIDA,La Florida,-70.59963385791845,-33.56301274054996
62613,Fullcarga,OASIS,Maipu,-70.75571020000001,-33.513673600000004
62683,Fullcarga,BAZAR MARY LA FLORIDA,La Florida,-70.59967951557142,-33.546760320366026
62716,Fullcarga,JUAN BAUTISTA VIDAL BARRIENTOS,La Florida,-70.570259,-33.554043
63076,Fullcarga,LOTO,Puente Alto,-70.57531944444446,-33.6093277777778
63356,Fullcarga,MIGUEL AGUILERA,Peñalolen,-70.55766685,-33.47595427
63396,Fullcarga,PUNTO ARAUCO ,Santiago,-70.62870143,-33.47031701
63493,Fullcarga,MONICA PILAR ESPINOZA MARTINEZ,Recoleta,-70.6289944871794,-33.400252051282
63521,Fullcarga,ROSITA,Lo Espejo,-70.6868241087579,-33.505084656178106
63696,Fullcarga,ELLEN MARLENE MOSCOSO GAS,Puente Alto,-70.55635616738475,-33.59360142005146
64030,Fullcarga,GUILLERMINA ESTER,El Bosque,-70.6730765471254,-33.57857107027501
64317,Fullcarga,D LLA FRUIT,Quilicura,-70.7064117593493,-33.3655641126751
64326,Fullcarga,D Y D,Puente Alto,-70.565777,-33.549845
65793,Fullcarga,CAMILA PUDAHUEL,Pudahuel,-70.74709686,-33.43705396
65966,Fullcarga,MARKITO,San Miguel,-70.66145075,-33.49450266
66005,Fullcarga,ALMACEN CHARLY CHICO,La Pintana,-70.6450931803966,-33.5859315758334
66008,Fullcarga,MINIMARKET ENRIQUE,San Bernardo,-70.7032633333333,-33.6067033333333
66197,Fullcarga,FERNANDA,San Bernardo,-70.70288922,-33.57657313
66243,Fullcarga,GLADYS,San Bernardo,-70.69900069444445,-33.624617777777786
66246,Fullcarga,DON BETO,El Bosque,-70.66313081413,-33.575610358146754
66288,Fullcarga,FELIDOR GONZALEZ VENEGAS,Recoleta,-70.64680362179492,-33.3939020833333
66294,Fullcarga,JUANA DEL CARMEN,Huechuraba,-70.63200400000001,-33.371393
66310,Fullcarga,ISABEL PETRONILA ARCAYA G,Maipu,-70.78800809999998,-33.54208479
66322,Fullcarga,PEDRO ESPINOZA,Conchali,-70.67570723958333,-33.37259682291666
66327,Fullcarga,BOTILLERIA CAROLINA,La Pintana,-70.65965299166659,-33.5786070722222
66330,Fullcarga,SANTA CRISTINA EL BOSQUE,El Bosque,-70.680801,-33.547443
66346,Fullcarga,SAN ANDRES,Quinta Normal,-70.70691834424841,-33.438212179109605
66366,Fullcarga,ALMACEN LA ESCALERA SAN JOAQUIN,San Joaquin,-70.6348931666666,-33.4899533888888
66420,Fullcarga,COM GONZALEZ CERRO NAVIA,Cerro Navia,-70.75065131,-33.41671244
66429,Fullcarga,ALMACEN C Y S,La Pintana,-70.64346522259758,-33.5811171246109
66448,Fullcarga,JUAN MUÑOZ,Cerro Navia,-70.72934523,-33.41934605
66463,Fullcarga,ISABEL C CISTERNA MATURA,La Florida,-70.58876459298324,-33.54536061855202
66468,Fullcarga,SANTA TERESA,Maipu,-70.77260815580509,-33.5330709393052
66527,Fullcarga,CIBER ACTION,Quilicura,-70.72055132777673,-33.354257349503435
67259,Fullcarga,KAREN,San Ramon,-70.651307117117,-33.5425198198198
67320,Fullcarga,NANCY,Santiago,-70.67654841164479,-33.4309639865605
67554,Fullcarga,EL NEGRITO RENCA,Renca,-70.72703411,-33.40662805
68357,Fullcarga,LOS 121 LO ESPEJO,Lo Espejo,-70.6817731034482,-33.515172183908
68367,Fullcarga,LENNY,Quilicura,-70.75978082224421,-33.360436629556396
69401,Fullcarga,ALMACEN Y BAZAR,La Pintana,-70.623233,-33.593425
69429,Fullcarga,LEOCRISMA,Peñalolen,-70.52573035387468,-33.48197255430716
69771,Fullcarga,SAN RICARDO LA PINTANA,La Pintana,-70.643728,-33.586301
70311,Fullcarga,LUAN RENCA,Renca,-70.74153056,-33.39701578
70889,Fullcarga,TIENDA UPA!-SHELL  (F.558),Conchali,-70.6828574873272,-33.4010427966556
70902,Fullcarga,TIENDA UPA!-SHELL  (F.181),Ñuñoa,-70.59885261,-33.46513991
70945,Fullcarga,TIENDA UPA!-SHELL  (F.663),Maipu,-70.75429,-33.479164000000004
70947,Fullcarga,TIENDA UPA!-SHELL  (F.448),Lo Barnechea,-70.49709739544673,-33.366871850513675
71018,Fullcarga,TIENDA UPA!-SHELL  (F.652),La Florida,-70.58805252967849,-33.546970435736796
71026,Fullcarga,TIENDA UPA!-SHELL  (F.617),Maipu,-70.7754154565163,-33.517817614017304
71511,Fullcarga,CLAUDIA URRUTIA,Peñalolen,-70.57096293333333,-33.48071453333333
71746,Fullcarga,MAVI,La Pintana,-70.65207632,-33.56044913
72432,Fullcarga,ROSA ESTER HERRERA ,Huechuraba,-70.61945021970143,-33.37989280340681
72444,Fullcarga,BAZAR ARIEL LO ESPEJO,Lo Espejo,-70.6734560483028,-33.510758716592804
72847,Fullcarga,KEVIN,Santiago,-70.6783221314172,-33.433583050703
72860,Fullcarga,VILUM MARKET CERRO NAVIA,Cerro Navia,-70.74787659,-33.42583143
73750,Fullcarga,TIENDA UPA!-SHELL  (F.165),Las Condes,-70.5168017777428,-33.4028162868279
73872,Fullcarga,ANITA,Pedro Aguirre Cerda,-70.6844407312925,-33.5040707551021
75873,Fullcarga,ROSA CARVAJAL CONTRERAS,La Granja,-70.61544,-33.550491
75942,Fullcarga,BAZAR TODO ESCOLAR,Quilicura,-70.73446938535109,-33.3639201757277
76073,Fullcarga,EL TALENTO QUILICURA,Quilicura,-70.7185025776446,-33.3533555473489
78065,Fullcarga,LAS ROSAS,San Bernardo,-70.66714196969697,-33.58947555555556
78875,Fullcarga,TIENDA UPA!-SHELL  (F.152),Las Condes,-70.5798304278255,-33.423665059888805
78920,Fullcarga,PATRICIA,Estacion Central,-70.68128983742173,-33.45191760202692
79105,Fullcarga,BAZAR CLAUDIA,La Pintana,-70.6393938791466,-33.5777222034571
79212,Fullcarga,EL OSITO,Maipu,-70.79710006,-33.52710767
79246,Fullcarga,EL TAMBO,El Bosque,-70.66715409090911,-33.56875636363637
79247,Fullcarga,LAS PRINCESITAS,La Pintana,-70.63950786481409,-33.5787773964072
79298,Fullcarga,LEINA ANDRAWES BOULES HEJAZEEN,Las Condes,-70.55936936,-33.41527122
79356,Fullcarga,TIENDA UPA!-SHELL  (F.107),Providencia,-70.5850936994415,-33.4320620648256
79467,Fullcarga,EL DROOPY,Maipu,-70.76894585355521,-33.497133619957104
79567,Fullcarga,ANITA,San Miguel,-70.64108214285709,-33.4896497619048
79576,Fullcarga,BRINDIS,San Bernardo,-70.70512298245616,-33.59607815789472
79660,Fullcarga,ARIAS MARKET,Santiago,-70.62877381578609,-33.459616264294
79763,Fullcarga,SAN VICENTE,El Bosque,-70.66083136826671,-33.5548048709251
79827,Fullcarga,JENNY ALVAREZ FUENTES,Pedro Aguirre Cerda,-70.68670300000001,-33.494825
79964,Fullcarga,LA COTE,Cerro Navia,-70.739746,-33.425554
80013,Fullcarga,EL GRIFO,Quilicura,-70.75143984848481,-33.36591558441559
80044,Fullcarga,PAULA,Santiago,-70.63682713539691,-33.4379212177902
80073,Fullcarga,TIENDA UPA!-SHELL  (F.122),Lo Barnechea,-70.51497559427109,-33.3628270240306
